"iso_code","method","year","mean","lower_ci","upper_ci","region","country","income_group","coverage","delta","lower_delta","upper_delta","within_ci","ci_width"
"AFG","ARIMA(0,2,1)",2020,0.736077137907447,0.667944748829991,0.804209526984904,"Asia","Afghanistan","LIC",0.7,-0.0360771379074472,0.0320552511700093,-0.104209526984904,TRUE,0.136264778154913
"AFG","ARIMA(0,2,1)",2021,0.752154275814894,0.63588762537076,0.868420926259029,"Asia","Afghanistan","LIC",0.66,-0.0921542758148943,0.0241123746292399,-0.208420926259029,TRUE,0.232533300888268
"AFG","ARIMA(0,2,1)",2022,0.768231413722342,0.600935171219074,0.93552765622561,"Asia","Afghanistan","LIC",0.69,-0.0782314137223417,0.0890648287809263,-0.24552765622561,TRUE,0.334592485006536
"AGO","ARIMA(0,1,0)",2020,0.57,0.493427820441531,0.646572179558469,"Africa","Angola","LMIC",0.51,-0.0599999999999999,0.0165721795584689,-0.136572179558469,TRUE,0.153144359116938
"AGO","ARIMA(0,1,0)",2021,0.57,0.461710585167945,0.678289414832054,"Africa","Angola","LMIC",0.45,-0.12,-0.0117105851679455,-0.228289414832054,FALSE,0.216578829664109
"AGO","ARIMA(0,1,0)",2022,0.57,0.437373094558445,0.702626905441555,"Africa","Angola","LMIC",0.42,-0.15,-0.017373094558445,-0.282626905441555,FALSE,0.26525381088311
"ALB","ARIMA(2,1,0)",2020,0.99,0.977814613158256,0.99,"Europe","Albania","UMIC",0.98,-0.01,0.00218538684174374,-0.01,TRUE,0.0121853868417438
"ALB","ARIMA(2,1,0)",2021,0.99,0.977568860124941,0.99,"Europe","Albania","UMIC",0.98,-0.01,0.0024311398750585,-0.01,TRUE,0.0124311398750585
"ALB","ARIMA(2,1,0)",2022,0.99,0.976458290958223,0.99,"Europe","Albania","UMIC",0.97,-0.02,-0.00645829095822337,-0.02,FALSE,0.0135417090417767
"AND","ARIMA(0,0,1) with non-zero mean",2020,0.982362935189194,0.95329841273388,0.99,"Europe","Andorra","HIC",0.99,0.00763706481080573,0.0367015872661202,0,TRUE,0.0367015872661202
"AND","ARIMA(0,0,1) with non-zero mean",2021,0.978385404190332,0.945804414979926,0.99,"Europe","Andorra","HIC",0.99,0.0116145958096683,0.0441955850200738,0,TRUE,0.0441955850200738
"AND","ARIMA(0,0,1) with non-zero mean",2022,0.978385404190332,0.945804414979926,0.99,"Europe","Andorra","HIC",0.98,0.00161459580966827,0.0341955850200738,-0.01,TRUE,0.0441955850200738
"ARE","ARIMA(0,1,0)",2020,0.99,0.969390270778513,0.99,"Asia","United Arab Emirates","HIC",0.9,-0.09,-0.0693902707785129,-0.09,FALSE,0.0206097292214871
"ARE","ARIMA(0,1,0)",2021,0.99,0.960853441418136,0.99,"Asia","United Arab Emirates","HIC",0.96,-0.03,-0.000853441418136036,-0.03,FALSE,0.029146558581864
"ARE","ARIMA(0,1,0)",2022,0.99,0.954302901858147,0.99,"Asia","United Arab Emirates","HIC",0.96,-0.03,0.00569709814185249,-0.03,TRUE,0.0356970981418525
"ARG","ARIMA(2,0,0) with non-zero mean",2020,0.853462021279632,0.789474590063471,0.917449452495792,"Americas","Argentina","UMIC",0.74,-0.113462021279632,-0.0494745900634714,-0.177449452495792,FALSE,0.12797486243232
"ARG","ARIMA(2,0,0) with non-zero mean",2021,0.892064837334739,0.800825439729353,0.983304234940124,"Americas","Argentina","UMIC",0.81,-0.0820648373347389,0.00917456027064656,-0.173304234940124,TRUE,0.182478795210771
"ARG","ARIMA(2,0,0) with non-zero mean",2022,0.919763602978437,0.822169837284033,0.99,"Americas","Argentina","UMIC",0.81,-0.109763602978437,-0.0121698372840331,-0.18,FALSE,0.167830162715967
"ARM","ARIMA(1,0,0) with non-zero mean",2020,0.921407332914967,0.890905360784452,0.951909305045483,"Asia","Armenia","UMIC",0.91,-0.0114073329149673,0.0190946392155484,-0.0419093050454831,TRUE,0.0610039442610315
"ARM","ARIMA(1,0,0) with non-zero mean",2021,0.922447190112032,0.884522172542633,0.960372207681431,"Asia","Armenia","UMIC",0.93,0.00755280988796803,0.0454778274573673,-0.0303722076814312,TRUE,0.0758500351387985
"ARM","ARIMA(1,0,0) with non-zero mean",2022,0.923215525009047,0.881795535724864,0.96463551429323,"Asia","Armenia","UMIC",0.93,0.00678447499095314,0.048204464275136,-0.0346355142932298,TRUE,0.0828399785683658
"ATG","ARIMA(1,0,0) with non-zero mean",2020,0.96136493105042,0.925405214711411,0.99,"Americas","Antigua and Barbuda","HIC",0.96,-0.00136493105042046,0.0345947852885885,-0.03,TRUE,0.0645947852885885
"ATG","ARIMA(1,0,0) with non-zero mean",2021,0.96704685879927,0.926843434645231,0.99,"Americas","Antigua and Barbuda","HIC",0.92,-0.0470468587992697,-0.00684343464523118,-0.07,FALSE,0.0631565653547688
"ATG","ARIMA(1,0,0) with non-zero mean",2022,0.969887553810961,0.928691637157493,0.99,"Americas","Antigua and Barbuda","HIC",0.99,0.020112446189039,0.0613083628425074,0,TRUE,0.0613083628425074
"AUS","ARIMA(0,1,0)",2020,0.95,0.935081420482975,0.964918579517025,"Oceania","Australia","HIC",0.95,0,0.0149185795170247,-0.0149185795170247,TRUE,0.0298371590340494
"AUS","ARIMA(0,1,0)",2021,0.95,0.928901942515682,0.971098057484318,"Oceania","Australia","HIC",0.95,0,0.0210980574843177,-0.0210980574843177,TRUE,0.0421961149686354
"AUS","ARIMA(0,1,0)",2022,0.95,0.924160262299757,0.975839737700243,"Oceania","Australia","HIC",0.94,-0.01,0.0158397377002431,-0.0358397377002431,TRUE,0.0516794754004861
"AUT","ARIMA(0,1,0)",2020,0.85,0.790008558774036,0.909991441225964,"Europe","Austria","HIC",0.85,0,0.0599914412259638,-0.0599914412259638,TRUE,0.119982882451928
"AUT","ARIMA(0,1,0)",2021,0.85,0.765159290191934,0.934840709808066,"Europe","Austria","HIC",0.86,0.01,0.0948407098080665,-0.0748407098080665,TRUE,0.169681419616133
"AUT","ARIMA(0,1,0)",2022,0.85,0.746091775777349,0.953908224222651,"Europe","Austria","HIC",0.84,-0.01,0.0939082242226514,-0.113908224222651,TRUE,0.207816448445303
"AZE","ARIMA(0,1,0) with drift",2020,0.949473684210536,0.910560459327167,0.988386909093906,"Asia","Azerbaijan","UMIC",0.79,-0.159473684210536,-0.120560459327167,-0.198386909093906,FALSE,0.0778264497667391
"AZE","ARIMA(0,1,0) with drift",2021,0.958947368421073,0.903915758035337,0.99,"Asia","Azerbaijan","UMIC",0.89,-0.0689473684210727,-0.0139157580353373,-0.1,FALSE,0.0860842419646627
"AZE","ARIMA(0,1,0) with drift",2022,0.968421052631609,0.90102137004726,0.99,"Asia","Azerbaijan","UMIC",0.83,-0.138421052631609,-0.0710213700472596,-0.16,FALSE,0.0889786299527404
"BDI","ARIMA(0,1,0)",2020,0.93,0.871199980144535,0.988800019855466,"Africa","Burundi","LIC",0.93,0,0.0588000198554655,-0.0588000198554655,TRUE,0.117600039710931
"BDI","ARIMA(0,1,0)",2021,0.93,0.846844214452594,0.99,"Africa","Burundi","LIC",0.94,0.0099999999999999,0.0931557855474064,-0.05,TRUE,0.143155785547406
"BDI","ARIMA(0,1,0)",2022,0.93,0.828155378124275,0.99,"Africa","Burundi","LIC",0.91,-0.02,0.0818446218757249,-0.08,TRUE,0.161844621875725
"BEL","ARIMA(0,1,0)",2020,0.97,0.955774511878113,0.984225488121887,"Europe","Belgium","HIC",0.97,0,0.0142254881218867,-0.0142254881218867,TRUE,0.0284509762437735
"BEL","ARIMA(0,1,0)",2021,0.97,0.94988212176665,0.99,"Europe","Belgium","HIC",0.98,0.01,0.0301178782333497,-0.01,TRUE,0.0401178782333497
"BEL","ARIMA(0,1,0)",2022,0.97,0.945360731810424,0.99,"Europe","Belgium","HIC",0.98,0.01,0.0346392681895755,-0.01,TRUE,0.0446392681895755
"BEN","ARIMA(0,0,0) with non-zero mean",2020,0.757000000000054,0.703759111149605,0.810240888850503,"Africa","Benin","LMIC",0.72,-0.037000000000054,0.0162408888503951,-0.0902408888505031,TRUE,0.106481777700898
"BEN","ARIMA(0,0,0) with non-zero mean",2021,0.757000000000054,0.703759111149605,0.810240888850503,"Africa","Benin","LMIC",0.76,0.00299999999994605,0.0562408888503951,-0.050240888850503,TRUE,0.106481777700898
"BEN","ARIMA(0,0,0) with non-zero mean",2022,0.757000000000054,0.703759111149605,0.810240888850503,"Africa","Benin","LMIC",0.76,0.00299999999994605,0.0562408888503951,-0.050240888850503,TRUE,0.106481777700898
"BFA","ARIMA(1,2,0)",2020,0.91,0.840700990115155,0.979299009884845,"Africa","Burkina Faso","LIC",0.91,1.11022302462516e-16,0.0692990098848447,-0.0692990098848445,TRUE,0.138598019769689
"BFA","ARIMA(1,2,0)",2021,0.91,0.789002681227875,0.99,"Africa","Burkina Faso","LIC",0.91,2.22044604925031e-16,0.120997318772125,-0.08,TRUE,0.200997318772125
"BFA","ARIMA(1,2,0)",2022,0.91,0.716121146072092,0.99,"Africa","Burkina Faso","LIC",0.91,3.33066907387547e-16,0.193878853927908,-0.08,TRUE,0.273878853927908
"BGD","ARIMA(0,1,0)",2020,0.98,0.91063092493698,0.99,"Asia","Bangladesh","LMIC",0.98,0,0.0693690750630196,-0.01,TRUE,0.0793690750630196
"BGD","ARIMA(0,1,0)",2021,0.98,0.8818973132366,0.99,"Asia","Bangladesh","LMIC",0.98,0,0.0981026867633995,-0.01,TRUE,0.1081026867634
"BGD","ARIMA(0,1,0)",2022,0.98,0.859849237516791,0.99,"Asia","Bangladesh","LMIC",0.98,0,0.120150762483209,-0.01,TRUE,0.130150762483209
"BGR","ARIMA(0,1,0)",2020,0.93,0.89079848988429,0.96920151011571,"Europe","Bulgaria","UMIC",0.91,-0.02,0.01920151011571,-0.0592015101157101,TRUE,0.0784030202314201
"BGR","ARIMA(0,1,0)",2021,0.93,0.874560692728857,0.985439307271143,"Europe","Bulgaria","UMIC",0.89,-0.04,0.0154393072711431,-0.0954393072711431,TRUE,0.110878614542286
"BGR","ARIMA(0,1,0)",2022,0.93,0.862100992746165,0.99,"Europe","Bulgaria","UMIC",0.91,-0.02,0.047899007253835,-0.08,TRUE,0.127899007253835
"BHR","ARIMA(0,0,0) with non-zero mean",2020,0.981999999999966,0.965663528624034,0.99,"Asia","Bahrain","HIC",0.98,-0.00199999999996647,0.0143364713759655,-0.01,TRUE,0.0243364713759655
"BHR","ARIMA(0,0,0) with non-zero mean",2021,0.981999999999966,0.965663528624034,0.99,"Asia","Bahrain","HIC",0.98,-0.00199999999996647,0.0143364713759655,-0.01,TRUE,0.0243364713759655
"BHR","ARIMA(0,0,0) with non-zero mean",2022,0.981999999999966,0.965663528624034,0.99,"Asia","Bahrain","HIC",0.97,-0.0119999999999665,0.00433647137596549,-0.02,TRUE,0.0243364713759655
"BHS","ARIMA(1,0,0) with non-zero mean",2020,0.901587873945781,0.861064035651662,0.942111712239899,"Americas","Bahamas","HIC",0.83,-0.0715878739457806,-0.0310640356516618,-0.112111712239899,FALSE,0.0810476765882375
"BHS","ARIMA(1,0,0) with non-zero mean",2021,0.910812957892743,0.859015754310092,0.962610161475395,"Americas","Bahamas","HIC",0.86,-0.0508129578927434,0.000984245689907737,-0.102610161475395,TRUE,0.103594407165302
"BHS","ARIMA(1,0,0) with non-zero mean",2022,0.918157029309701,0.860342147451229,0.975971911168173,"Americas","Bahamas","HIC",0.87,-0.0481570293097009,0.00965785254877127,-0.105971911168173,TRUE,0.115629763716944
"BIH","ARIMA(2,1,0)",2020,0.719222137912501,0.646888176728363,0.791556099096639,"Europe","Bosnia and Herzegovina","UMIC",0.72,0.000777862087498526,0.0731118232716366,-0.0715560990966395,TRUE,0.144667922368276
"BIH","ARIMA(2,1,0)",2021,0.722417406124522,0.633975707419814,0.810859104829231,"Europe","Bosnia and Herzegovina","UMIC",0.76,0.0375825938754778,0.126024292580186,-0.0508591048292308,TRUE,0.176883397409417
"BIH","ARIMA(2,1,0)",2022,0.715662002609681,0.584965331634971,0.84635867358439,"Europe","Bosnia and Herzegovina","UMIC",0.75,0.0343379973903193,0.165034668365029,-0.0963586735843904,TRUE,0.261393341949419
"BLR","ARIMA(0,0,0) with non-zero mean",2020,0.954999999999999,0.743953312947745,0.99,"Europe","Belarus","UMIC",0.97,0.0150000000000006,0.226046687052255,-0.02,TRUE,0.246046687052255
"BLR","ARIMA(0,0,0) with non-zero mean",2021,0.954999999999999,0.743953312947745,0.99,"Europe","Belarus","UMIC",0.98,0.0250000000000006,0.236046687052255,-0.01,TRUE,0.246046687052255
"BLR","ARIMA(0,0,0) with non-zero mean",2022,0.954999999999999,0.743953312947745,0.99,"Europe","Belarus","UMIC",0.98,0.0250000000000006,0.236046687052255,-0.01,TRUE,0.246046687052255
"BLZ","ARIMA(0,0,0) with non-zero mean",2020,0.95,0.896042410895225,0.99,"Americas","Belize","UMIC",0.79,-0.16,-0.106042410895224,-0.2,FALSE,0.0939575891047755
"BLZ","ARIMA(0,0,0) with non-zero mean",2021,0.95,0.896042410895225,0.99,"Americas","Belize","UMIC",0.83,-0.12,-0.0660424108952246,-0.16,FALSE,0.0939575891047755
"BLZ","ARIMA(0,0,0) with non-zero mean",2022,0.95,0.896042410895225,0.99,"Americas","Belize","UMIC",0.84,-0.11,-0.0560424108952245,-0.15,FALSE,0.0939575891047755
"BOL","ARIMA(1,0,0) with non-zero mean",2020,0.76648183882503,0.67764117508634,0.855322502563721,"Americas","Bolivia (Plurinational State of)","LMIC",0.68,-0.0864818388250304,0.00235882491365991,-0.175322502563721,TRUE,0.177681327477381
"BOL","ARIMA(1,0,0) with non-zero mean",2021,0.779255827712803,0.666856481378512,0.891655174047093,"Americas","Bolivia (Plurinational State of)","LMIC",0.7,-0.0792558277128026,0.0331435186214877,-0.191655174047093,TRUE,0.224798692668581
"BOL","ARIMA(1,0,0) with non-zero mean",2022,0.789156106063852,0.664731842995553,0.91358036913215,"Americas","Bolivia (Plurinational State of)","LMIC",0.69,-0.0991561060638516,0.0252681570044468,-0.22358036913215,TRUE,0.248848526136597
"BRA","ARIMA(2,2,1)",2020,0.767391041992989,0.705760822053962,0.829021261932016,"Americas","Brazil","UMIC",0.77,0.002608958007011,0.0642391779460377,-0.0590212619320157,TRUE,0.123260439878053
"BRA","ARIMA(2,2,1)",2021,0.654631074518627,0.589024020865502,0.720238128171752,"Americas","Brazil","UMIC",0.68,0.0253689254813729,0.0909759791344982,-0.0402381281717523,TRUE,0.13121410730625
"BRA","ARIMA(2,2,1)",2022,0.614344085835588,0.508956159743145,0.719732011928031,"Americas","Brazil","UMIC",0.77,0.155655914164412,0.261043840256855,0.050267988071969,FALSE,0.210775852184886
"BRB","ARIMA(0,0,0) with non-zero mean",2020,0.9055,0.826721971236563,0.984278028763437,"Americas","Barbados","HIC",0.85,-0.0555,0.0232780287634373,-0.134278028763437,TRUE,0.157556057526875
"BRB","ARIMA(0,0,0) with non-zero mean",2021,0.9055,0.826721971236563,0.984278028763437,"Americas","Barbados","HIC",0.82,-0.0855,-0.00672197123656271,-0.164278028763437,FALSE,0.157556057526875
"BRB","ARIMA(0,0,0) with non-zero mean",2022,0.9055,0.826721971236563,0.984278028763437,"Americas","Barbados","HIC",0.86,-0.0455,0.0332780287634373,-0.124278028763437,TRUE,0.157556057526875
"BRN","ARIMA(1,0,0) with non-zero mean",2020,0.984364392050377,0.947079994304383,0.99,"Asia","Brunei Darussalam","HIC",0.99,0.00563560794962337,0.0429200056956165,0,TRUE,0.0429200056956165
"BRN","ARIMA(1,0,0) with non-zero mean",2021,0.980667968691927,0.936079018977533,0.99,"Asia","Brunei Darussalam","HIC",0.99,0.00933203130807281,0.0539209810224666,0,TRUE,0.0539209810224666
"BRN","ARIMA(1,0,0) with non-zero mean",2022,0.978243466177375,0.930857165125323,0.99,"Asia","Brunei Darussalam","HIC",0.99,0.0117565338226249,0.0591428348746772,0,TRUE,0.0591428348746772
"BTN","ARIMA(0,1,0)",2020,0.97,0.9043749388819,0.99,"Asia","Bhutan","LMIC",0.95,-0.02,0.0456250611180997,-0.04,TRUE,0.0856250611180998
"BTN","ARIMA(0,1,0)",2021,0.97,0.87719214853522,0.99,"Asia","Bhutan","LMIC",0.98,0.01,0.10280785146478,-0.01,TRUE,0.11280785146478
"BTN","ARIMA(0,1,0)",2022,0.97,0.856334059893638,0.99,"Asia","Bhutan","LMIC",0.98,0.01,0.123665940106362,-0.01,TRUE,0.133665940106362
"BWA","ARIMA(0,1,0)",2020,0.95,0.943626096836859,0.956373903163141,"Africa","Botswana","UMIC",0.95,0,0.00637390316314068,-0.00637390316314068,TRUE,0.0127478063262814
"BWA","ARIMA(0,1,0)",2021,0.95,0.940985939701434,0.959014060298566,"Africa","Botswana","UMIC",0.95,0,0.00901406029856622,-0.00901406029856622,TRUE,0.0180281205971324
"BWA","ARIMA(0,1,0)",2022,0.95,0.938960075878916,0.961039924121084,"Africa","Botswana","UMIC",0.86,-0.09,-0.0789600758789164,-0.101039924121084,FALSE,0.0220798482421671
"CAN","ARIMA(1,0,0) with non-zero mean",2020,0.908973150079904,0.879701945520536,0.938244354639273,"Americas","Canada","HIC",0.92,0.0110268499200959,0.0402980544794644,-0.0182443546392725,TRUE,0.058542409118737
"CAN","ARIMA(1,0,0) with non-zero mean",2021,0.908340244275049,0.873955665978906,0.942724822571193,"Americas","Canada","HIC",0.92,0.0116597557249508,0.0460443340210941,-0.0227248225711925,TRUE,0.0687691565922866
"CAN","ARIMA(1,0,0) with non-zero mean",2022,0.907950148556113,0.871812168052265,0.944088129059962,"Americas","Canada","HIC",0.92,0.0120498514438867,0.0481878319477351,-0.0240881290599617,TRUE,0.0722759610076968
"CHE","ARIMA(0,1,0) with drift",2020,0.961578947368421,0.954223733761827,0.968934160975015,"Europe","Switzerland","HIC",0.96,-0.00157894736842112,0.00577626623817262,-0.00893416097501487,TRUE,0.0147104272131875
"CHE","ARIMA(0,1,0) with drift",2021,0.963157894736842,0.952756051900246,0.973559737573438,"Europe","Switzerland","HIC",0.96,-0.00315789473684214,0.00724394809975382,-0.0135597375734381,TRUE,0.0208036856731919
"CHE","ARIMA(0,1,0) with drift",2022,0.964736842105263,0.951997238438121,0.977476445772405,"Europe","Switzerland","HIC",0.96,-0.00473684210526315,0.00800276156187907,-0.0174764457724054,TRUE,0.0254792073342844
"CHL","ARIMA(0,0,1) with non-zero mean",2020,0.945872191038717,0.906593334021367,0.985151048056067,"Americas","Chile","HIC",0.93,-0.0158721910387172,0.0234066659786326,-0.055151048056067,TRUE,0.0785577140346996
"CHL","ARIMA(0,0,1) with non-zero mean",2021,0.939715564692611,0.895008393599758,0.984422735785463,"Americas","Chile","HIC",0.95,0.0102844353073893,0.054991606400242,-0.0344227357854634,TRUE,0.0894143421857054
"CHL","ARIMA(0,0,1) with non-zero mean",2022,0.939715564692611,0.895008393599758,0.984422735785463,"Americas","Chile","HIC",0.96,0.0202844353073893,0.064991606400242,-0.0244227357854634,TRUE,0.0894143421857054
"CHN","ARIMA(0,1,0) with drift",2020,0.99,0.965465425151795,0.99,"Asia","China","UMIC",0.99,0,0.0245345748482053,0,TRUE,0.0245345748482053
"CHN","ARIMA(0,1,0) with drift",2021,0.99,0.959619192621889,0.99,"Asia","China","UMIC",0.99,0,0.0303808073781113,0,TRUE,0.0303808073781113
"CHN","ARIMA(0,1,0) with drift",2022,0.99,0.956847653343815,0.99,"Asia","China","UMIC",0.99,0,0.0331523466561845,0,TRUE,0.0331523466561845
"CIV","ARIMA(0,1,0)",2020,0.81,0.660597915039673,0.959402084960327,"Africa","Cote d'Ivoire","LMIC",0.75,-0.0600000000000001,0.0894020849603271,-0.209402084960327,TRUE,0.298804169920654
"CIV","ARIMA(0,1,0)",2021,0.81,0.598713545202288,0.99,"Africa","Cote d'Ivoire","LMIC",0.76,-0.05,0.161286454797712,-0.23,TRUE,0.391286454797712
"CIV","ARIMA(0,1,0)",2022,0.81,0.551227998091991,0.99,"Africa","Cote d'Ivoire","LMIC",0.76,-0.05,0.208772001908009,-0.23,TRUE,0.438772001908009
"CMR","ARIMA(1,0,0) with non-zero mean",2020,0.673630709144715,0.594711688813298,0.752549729476133,"Africa","Cameroon","LMIC",0.69,0.0163692908552846,0.0952883111867019,-0.0625497294761327,TRUE,0.157838040662835
"CMR","ARIMA(1,0,0) with non-zero mean",2021,0.676905224022117,0.570630489839923,0.783179958204311,"Africa","Cameroon","LMIC",0.69,0.0130947759778827,0.119369510160077,-0.0931799582043114,TRUE,0.212549468364388
"CMR","ARIMA(1,0,0) with non-zero mean",2022,0.67985848941875,0.555700703350272,0.804016275487229,"Africa","Cameroon","LMIC",0.68,0.000141510581249671,0.124299296649728,-0.124016275487229,TRUE,0.248315572136957
"COD","ARIMA(0,1,0)",2020,0.73,0.615450242460185,0.844549757539815,"Africa","Democratic Republic of the Congo","LIC",0.7,-0.03,0.0845497575398146,-0.144549757539815,TRUE,0.229099515079629
"COD","ARIMA(0,1,0)",2021,0.73,0.568002179320644,0.891997820679356,"Africa","Democratic Republic of the Congo","LIC",0.65,-0.08,0.0819978206793557,-0.241997820679356,TRUE,0.323995641358711
"COD","ARIMA(0,1,0)",2022,0.73,0.531593999946345,0.928406000053655,"Africa","Democratic Republic of the Congo","LIC",0.65,-0.08,0.118406000053655,-0.278406000053655,TRUE,0.39681200010731
"COG","ARIMA(0,1,0)",2020,0.79,0.64625360236836,0.93374639763164,"Africa","Congo","LMIC",0.73,-0.0600000000000001,0.0837463976316404,-0.20374639763164,TRUE,0.287492795263281
"COG","ARIMA(0,1,0)",2021,0.79,0.586711894927058,0.99,"Africa","Congo","LMIC",0.77,-0.02,0.183288105072942,-0.22,TRUE,0.403288105072942
